"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",150,"all","M1","M3",0
"mrgn","truth","model",150,"all","M2","M3",1
"mrgn","truth","model",150,"all","M3","M3",37
"mrgn","truth","model",150,"all","M4","M3",3
"mrgn","truth","model",150,"all","M0","M4",0
"mrgn","truth","model",150,"all","M1","M4",0
"mrgn","truth","model",150,"all","M2","M4",0
"mrgn","truth","model",150,"all","M3","M4",0
"mrgn","truth","model",150,"all","M4","M4",7
"mrgn","truth","model",150,"all","M0","Other",16
"mrgn","truth","model",150,"all","M1","Other",20
"mrgn","truth","model",150,"all","M2","Other",20
"mrgn","truth","model",150,"all","M3","Other",15
"mrgn","truth","model",150,"all","M4","Other",14
"mrgn","truth","edge",150,"all","M0","T1 - T2 Edge Absent",44
"mrgn","truth","edge",150,"all","M1","T1 - T2 Edge Absent",4
"mrgn","truth","edge",150,"all","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",150,"all","M3","T1 - T2 Edge Absent",45
"mrgn","truth","edge",150,"all","M4","T1 - T2 Edge Absent",8
"mrgn","truth","edge",150,"all","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"all","M1","T1 - T2 Edge Present",36
"mrgn","truth","edge",150,"all","M2","T1 - T2 Edge Present",38
"mrgn","truth","edge",150,"all","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"all","M4","T1 - T2 Edge Present",38
"mrgn","truth","edge",150,"all","M0","Other",16
"mrgn","truth","edge",150,"all","M1","Other",20
"mrgn","truth","edge",150,"all","M2","Other",20
"mrgn","truth","edge",150,"all","M3","Other",15
"mrgn","truth","edge",150,"all","M4","Other",14
"mrgn","truth","model",150,"small","M0","M0",5
"mrgn","truth","model",150,"small","M1","M0",3
"mrgn","truth","model",150,"small","M2","M0",0
"mrgn","truth","model",150,"small","M3","M0",4
"mrgn","truth","model",150,"small","M4","M0",4
"mrgn","truth","model",150,"small","M0","M1",0
"mrgn","truth","model",150,"small","M1","M1",4
"mrgn","truth","model",150,"small","M2","M1",4
"mrgn","truth","model",150,"small","M3","M1",0
"mrgn","truth","model",150,"small","M4","M1",3
"mrgn","truth","model",150,"small","M0","M2",0
"mrgn","truth","model",150,"small","M1","M2",0
"mrgn","truth","model",150,"small","M2","M2",0
"mrgn","truth","model",150,"small","M3","M2",0
"mrgn","truth","model",150,"small","M4","M2",0
