"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","CSa",1104,50,"large","M3",0.0179100036621094,FALSE,FALSE
"MRGN","CSa",1105,50,"large","M4",0.0277488231658936,FALSE,FALSE
"MRGN","CSa",1106,150,"large","M0.1",0.0343739986419678,FALSE,FALSE
"MRGN","CSa",1107,150,"large","M1.1",0.0274949073791504,FALSE,FALSE
"MRGN","CSa",1108,150,"large","M2.1",0.030095100402832,FALSE,FALSE
"MRGN","CSa",1109,150,"large","M3",0.0259430408477783,FALSE,FALSE
"MRGN","CSa",1110,150,"large","M4",0.0270211696624756,FALSE,FALSE
"MRGN","CSa",1111,300,"large","M0.1",0.022007942199707,FALSE,FALSE
"MRGN","CSa",1112,300,"large","M1.1",0.029292106628418,FALSE,FALSE
"MRGN","CSa",1113,300,"large","M2.1",0.0359189510345459,FALSE,FALSE
"MRGN","CSa",1114,300,"large","M3",0.029836893081665,FALSE,FALSE
"MRGN","CSa",1115,300,"large","M4",0.0141148567199707,FALSE,FALSE
"MRGN","CSa",1116,670,"large","M0.1",0.0454790592193604,FALSE,FALSE
"MRGN","CSa",1117,670,"large","M1.1",0.0286028385162354,FALSE,FALSE
"MRGN","CSa",1118,670,"large","M2.1",0.0283908843994141,FALSE,FALSE
"MRGN","CSa",1119,670,"large","M3",0.0347359180450439,FALSE,FALSE
"MRGN","CSa",1120,670,"large","M4",0.0470569133758545,FALSE,FALSE
"MRGN","CSa",1121,1000,"large","M0.1",0.0859420299530029,FALSE,FALSE
"MRGN","CSa",1122,1000,"large","M1.1",0.0617780685424805,FALSE,FALSE
"MRGN","CSa",1123,1000,"large","M2.1",0.040431022644043,FALSE,FALSE
"MRGN","CSa",1124,1000,"large","M3",0.0532200336456299,FALSE,FALSE
"MRGN","CSa",1125,1000,"large","M4",0.0505478382110596,FALSE,FALSE
"MRGN","CSa",1126,50,"small","M0.1",0.0347511768341064,FALSE,FALSE
"MRGN","CSa",1127,50,"small","M1.1",0.0249409675598145,FALSE,FALSE
"MRGN","CSa",1128,50,"small","M2.1",0.0180528163909912,FALSE,FALSE
"MRGN","CSa",1129,50,"small","M3",0.0239989757537842,FALSE,FALSE
"MRGN","CSa",1130,50,"small","M4",0.0265460014343262,FALSE,FALSE
"MRGN","CSa",1131,150,"small","M0.1",0.0570149421691895,FALSE,FALSE
"MRGN","CSa",1132,150,"small","M1.1",0.035944938659668,FALSE,FALSE
"MRGN","CSa",1133,150,"small","M2.1",0.0318639278411865,FALSE,FALSE
"MRGN","CSa",1134,150,"small","M3",0.0316629409790039,FALSE,FALSE
"MRGN","CSa",1135,150,"small","M4",0.0257208347320557,FALSE,FALSE
"MRGN","CSa",1136,300,"small","M0.1",0.0305008888244629,FALSE,FALSE
"MRGN","CSa",1137,300,"small","M1.1",0.0271639823913574,FALSE,FALSE
"MRGN","CSa",1138,300,"small","M2.1",0.0222189426422119,FALSE,FALSE
"MRGN","CSa",1139,300,"small","M3",0.045414924621582,FALSE,FALSE
"MRGN","CSa",1140,300,"small","M4",0.0151770114898682,FALSE,FALSE
"MRGN","CSa",1141,670,"small","M0.1",0.0431439876556396,FALSE,FALSE
