"method","sample_size","effect_size","metric","observed","denominator","boot_lo95","boot_q1","boot_median","boot_q3","boot_hi95","n_resamples"
"MRPC",50,"large","Recall",0.483333333333333,60,0.366666666666667,0.45,0.483333333333333,0.533333333333333,0.616666666666667,2000
"MRPC",150,"small","Precision",1,2,1,1,1,1,1,1757
"MRPC",150,"small","Recall",0.0333333333333333,60,0,0.0166666666666667,0.0333333333333333,0.05,0.0833333333333333,2000
"MRPC",150,"medium","Precision",1,24,1,1,1,1,1,2000
"MRPC",150,"medium","Recall",0.4,60,0.3,0.366666666666667,0.4,0.433333333333333,0.5,2000
"MRPC",150,"large","Precision",0.941176470588235,51,0.88,0.923076923076923,0.942307692307692,0.961538461538462,1,2000
"MRPC",150,"large","Recall",0.8,60,0.7,0.766666666666667,0.8,0.833333333333333,0.9,2000
"MRPC",300,"small","Precision",1,5,1,1,1,1,1,1983
"MRPC",300,"small","Recall",0.0833333333333333,60,0.0166666666666667,0.0666666666666667,0.0833333333333333,0.1,0.166666666666667,2000
"MRPC",300,"medium","Precision",0.944444444444444,36,0.864834152334152,0.921052631578947,0.945945945945946,0.971428571428571,1,2000
"MRPC",300,"medium","Recall",0.566666666666667,60,0.45,0.516666666666667,0.566666666666667,0.616666666666667,0.683333333333333,2000
"MRPC",300,"large","Precision",0.924528301886792,53,0.862068965517241,0.903846153846154,0.925925925925926,0.945454545454545,0.981132075471698,2000
"MRPC",300,"large","Recall",0.816666666666667,60,0.733333333333333,0.783333333333333,0.816666666666667,0.85,0.9,2000
"MR-GGI",50,"small","Recall",0,60,0,0,0,0,0,2000
"MR-GGI",50,"medium","Precision",0.666666666666667,9,0.374107142857143,0.571428571428571,0.666666666666667,0.777777777777778,1,1999
"MR-GGI",50,"medium","Recall",0.1,60,0.0333333333333333,0.0666666666666667,0.1,0.133333333333333,0.183333333333333,2000
"MR-GGI",50,"large","Precision",0.696969696969697,33,0.580645161290323,0.657142857142857,0.694444444444444,0.733333333333333,0.8125,2000
"MR-GGI",50,"large","Recall",0.383333333333333,60,0.266666666666667,0.35,0.383333333333333,0.416666666666667,0.5,2000
"MR-GGI",150,"small","Precision",0.666666666666667,3,0,0.5,0.666666666666667,1,1,1912
"MR-GGI",150,"small","Recall",0.0333333333333333,60,0,0.0166666666666667,0.0333333333333333,0.05,0.0833333333333333,2000
"MR-GGI",150,"medium","Precision",0.692307692307692,26,0.565217391304348,0.645161290322581,0.692307692307692,0.739130434782609,0.826086956521739,2000
"MR-GGI",150,"medium","Recall",0.3,60,0.216666666666667,0.266666666666667,0.3,0.333333333333333,0.383333333333333,2000
