"method","arm","scope","n_trios","n_timed_out","n_stalled","n_scored","min","q1","median","q3","iqr","max","mean","total_hours"
"MR-GGI","none","300",300,0,0,300,0.00573086738586426,0.0156031250953674,0.0230743885040283,0.0309472680091858,0.0153441429138184,0.24040699005127,0.0355994041760763,0.00296661701467302
"MR-GGI","none","670",300,0,0,300,0.00789308547973633,0.0210449695587158,0.0268170833587646,0.0422502756118774,0.0212053060531616,0.263389825820923,0.0403775668144226,0.00336479723453522
"MR-GGI","none","1000",300,0,0,300,0.00651788711547852,0.023726761341095,0.0301940441131592,0.0430822968482971,0.0193555355072021,0.246016979217529,0.0426873270670573,0.00355727725558811
"MR-GGI","CSq","all",1500,0,3,1497,0.00860905647277832,0.0499758720397949,0.370221853256226,4.37230801582336,4.32233214378357,88.4029810428619,3.70526697831546,1.54077351848284
"MR-GGI","CSq","n<=300",900,0,0,900,0.00860905647277832,0.0352478623390198,0.0562249422073364,0.240590572357178,0.205342710018158,5.48767185211182,0.240518993536631,0.0601297483841578
"MR-GGI","CSq","50",300,0,0,300,0.00964498519897461,0.0208024978637695,0.0298585891723633,0.0475927591323853,0.0267902612686157,0.0944340229034424,0.034055453936259,0.00283795449468825
"MR-GGI","CSq","150",300,0,0,300,0.00860905647277832,0.0386705994606018,0.0519266128540039,0.088755190372467,0.0500845909118652,0.230437994003296,0.064695078531901,0.00539125654432509
"MR-GGI","CSq","300",300,0,0,300,0.0167081356048584,0.240816116333008,0.391674041748047,0.659204304218292,0.418388187885284,5.48767185211182,0.622806448141734,0.0519005373451445
"MR-GGI","CSq","670",300,0,3,297,0.24315881729126,2.75700688362122,4.98683500289917,8.06442904472351,5.30742216110229,54.5331439971924,7.03269603758147,0.580197423100472
"MR-GGI","CSq","1000",300,0,0,300,0.0611600875854492,3.03270417451859,7.45623087882996,13.4288257360458,10.3961215615273,88.4029810428619,10.8053561639786,0.900446346998215
"MR-GGI","truth","all",1500,0,7,1493,0.0302269458770752,2.30005502700806,7.02948904037476,14.4435639381409,12.1435089111328,229.529897212982,11.3892866991865,4.7233902894126
"MR-GGI","truth","n<=300",900,0,0,900,0.0302269458770752,1.65416663885117,5.68910694122314,12.2126197814941,10.558453142643,77.8501529693604,8.45356568257014,2.11339142064254
"MR-GGI","truth","50",300,0,0,300,0.0302269458770752,1.54186648130417,4.95291149616241,9.50722002983093,7.96535354852676,16.2166001796722,5.84315425952276,0.486929521626896
